KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K11928,2969,3908,1391,972,1136,2444,2449,3584,2894,1542,2798,3411,2521,2925,1742,1609,3148,2764,2000
K11930,755,134,92,222,32,135,111,534,144,64,216,80,313,83,18,163,720,306,585
K11931,178,77,269,248,24,185,234,380,182,548,181,259,215,66,320,207,177,118,89
K11932,5,0,2,0,0,5,5,4,4,3,9,0,0,2,0,2,2,3,3
K11933,0,1,4,3,5,3,9,9,2,3,10,3,1,1,3,9,18,2,3
K11935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
K11936,58,62,53,64,13,61,106,115,70,81,66,64,99,36,68,102,39,41,75
K11937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K11938,5,2,2,2,7,1,12,3,4,2,11,6,9,16,3,3,8,1,5
K11939,6,145,29,17,28,95,88,82,116,43,64,55,3,82,13,31,17,43,60
K11940,3822,2615,3528,3318,291,2083,1982,3620,3287,3491,3253,4655,3371,1759,3898,4153,2253,1754,1796
K11941,6,202,93,88,30,278,198,69,274,131,104,135,112,135,171,202,19,76,97
K11942,7233,12947,3756,3904,2897,4379,6421,10471,6607,2830,11426,8322,9143,6367,2932,7079,8793,8568,7107
K11943,9,26,15,2,5,16,11,13,8,3,3,37,1,17,12,1,13,11,5
K11944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K11945,4,11,49,10,2,18,33,31,14,66,7,10,11,10,34,12,0,20,13
K11946,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
K11947,0,2,7,15,0,0,3,2,1,5,8,1,6,0,0,8,0,0,5
K11948,2,1,7,0,0,4,5,6,3,4,1,1,0,0,2,1,1,10,5
K11949,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
K11950,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
K11952,3,0,1,2,0,3,1,5,3,1,2,0,0,0,0,2,0,4,1
K11953,1,6,7,6,0,18,3,3,26,5,4,7,8,6,6,12,2,3,9
K11954,1,49,15,13,0,56,49,8,36,9,81,2,56,17,27,29,0,9,40
K11955,27,671,202,122,12,264,364,311,341,174,508,292,352,361,180,192,111,257,203
K11956,22,161,43,70,7,85,100,89,136,53,135,42,82,92,84,95,15,76,57
K11957,24,144,83,86,11,76,98,109,106,55,153,76,88,80,68,90,27,73,53
