KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K00001,22414,15686,13320.5,12261,3091.5,11815.5,12242,23076.5,17469,10926.5,20155.5,25616,16930.5,13381.5,15273.5,18155.5,15248,13401,13355.5
K00002,684,2435,764.5,716,782.5,1102.5,730.5,633,1515,353,1233,1913.5,1447.5,2139,568.5,776,495.5,472.5,791
K00003,17719,17013,19697,17837,1956,11505,10579,20962,20033,17194,19941,19816,19208,13020,20881,23254,12184,12476,13475
K00004,134,607,199,159,120,372,481,694,432,239,296,430,221,434,233,317,177,734,318
K00005,14,1769,5218,3220,24,1094,1352,70,1808,4786,2523,400,4564,1298,5043,3668,20,116,2650
K00006,462,1339,484,533,924,576,350,78,869,158,1018,1035,1021,1525,243,524,294,89,647
K00007,369,185,57,96,31,78,29,144,106,52,38,159,67,35,130,159,388,74,11
K00008,1264,3184,1633,1719,543,2425,2498,5769,3225,1579,2166,2886,1825,2925,2046,2914,1594,4147,1924
K00009,1,220,66,81,4,142,200,69,132,98,229,89,183,175,94,132,12,73,130
K00010,4951.5,5971,5237,5294,1202,5205.5,5650,6237,6221,5836.5,6052,6333.5,5940,5446,4945.5,7921,4587.5,4178.5,4182
K00011,365,468,389,279,296,384,345,356,577,215,598,380,655,592,273,484,305,277,413
K00012,17471,15007,22186,19563,2087,9222,12223,24960,15646,20992,20241,23800,24691,11362,25253,19566,12109,11160,11744
K00013,15644,18670,18237,15568,2064,11914,9569,18113,20561,15952,18222,18923,18468,13285,20870,24041,11638,11188,12602
K00014,9255,8085,11305,8882,1231,5751,6442,13529,8399,11494,8001,11345,9701,6441,11293,8994,7331,7021,5460
K00015,8981,9670,10220,8909,1095,7455,6154,12794,12275,8953,10658,11817,10161,6900,10458,14208,5675,8327,7256
K00016,75,426,242,288,94,412,284,348,608,199,347,224,284,328,227,436,119,305,542
K00018,1421,2553,1474,1036,634,1761,1585,2887,2550,1173,1545,2251,1542,2195,1521,1589,1132,2078,1348
K00019,3483,3167,2686,1784,709,2724,2472,4650,3278,1981,2779,4184,2470,2586,3205,2463,2388,3039,2325
K00020,16907,18958,17532,14835,2590,11693,13854,28440,19165,14223,23309,26320,20410,15397,18148,20176,13830,17063,15902
K00021,1155,889,631,389,458,683,898,1225,975,480,1071,733,953,851,642,496,846,650,1002
K00022,171,325,181,137,216,194,196,217,285,82,456,220,369,362,114,230,174,231,295
K00023,1359,2207,1757,1478,375,1559,1026,1549,2370,1446,2001,1539,1837,2010,1558,2440,980,1251,2318
K00024,16631,17080,15717,14745,2016,10195,12029,22467,18954,12079,23204,23382,20321,13154,17521,21554,13679,13802,11781
K00025,342,615,322,274,105,243,209,224,516,223,457,318,461,326,231,348,291,163,329
K00026,356,1432,236,214,331,376,222,58,798,93,531,1235,472,1381,151,247,647,48,308
K00027,1144,1999,928,226,544,1090,1140,3743,1631,742,922,1167,780,1462,913,417,1834,2888,1150
K00028,93,694,65,44,100,162,61,4,336,14,111,494,84,581,47,29,77,11,66
K00029,32196,28087,25401,23646,4459,13852,15875,25678,26216,19729,37302,39210,32890,19407,25854,31070,21332,15495,21170
K00030,140,904,467,446,126,694,508,1052,879,432,505,752,683,778,656,876,231,917,798
K00031,24593,30236,27401,24573,4366,15292,18811,32870,28252,21464,37286,34434,36159,21992,27860,31990,21370,20156,25566
K00032,43,71,34,13,29,41,41,72,40,19,29,44,30,52,30,38,28,94,25
K00033,4342,7393,8964,7920,1448,5862,4495,3793,9700,7184,8376,4194,11760,5851,9133,13301,4197,3115,9403
K00034,813,1880,1026,723,378,1692,1511,2310,1847,998,1329,1189,940,1467,1151,1156,871,1968,1161
K00035,45,32,17,24,2,32,58,33,21,20,53,28,25,24,18,25,92,27,47
K00036,4822.5,8241,9844.5,8786,1971,4129,4045.5,2959,6845,7962,7628,5011.5,11476.5,6459.5,9520.5,10732,4416,2142,6711
K00038,2058,4370,2162,1337,822,3140,3098,5072,3828,1921,2816,3832,2014,3304,2284,2152,2222,4051,2052
K00039,161,304,106,135,54,164,177,144,201,65,363,135,272,290,120,490,174,87,374
K00040,904,869,747,603,298,690,397,553,1063,499,893,622,597,663,717,1137,957,303,617
K00041,62,65,110,155,8,112,63,121,146,55,88,109,75,98,123,186,41,52,62
K00042,6314,3705,2816,1571,631,2169,2039,3374,3126,2175,3444,5605,2356,2971,3336,2610,3074,2275,1556
K00043,933,2617,1928,1210,317,2003,950,1381,2972,1241,1707,1708,1488,2540,1757,2350,760,1081,1957
K00044,7,13,16,19,1,18,20,50,15,26,21,20,19,11,11,19,9,22,36
K00045,928,2231,880,1498,450,1165,816,1326,1711,585,2375,1262,2186,1917,843,2962,785,650,3443
K00046,5204,6274.5,3244,2870,1331.5,5019,3780.5,6994.5,6368,3037,4158.5,5458.5,3436.5,5700,3988.5,5403,5238,4945,3935.5
K00048,23,53,42,22,11,64,49,56,75,43,38,73,39,58,65,26,36,49,27
K00049,199,237,170,64,32,144,141,317,224,128,91,186,118,164,145,104,156,264,117
K00050,50,125,111,45,30,113,74,97,159,106,110,96,70,169,64,133,80,69,74
K00051,49,630,46,54,42,121,54,97,209,32,65,381,77,365,24,80,73,98,62
K00052,19230,21021,23160,19566,2793,11891,13906,25169,22126,18601,26453,26031,25639,15922,24333,26977,14508,15890,14381
K00053,18288,18057,21063,18407,2514,11590,12309,22535,22050,16160,24416,24618,24032,14042,22886,27155,13686,14057,15122
K00054,2341,7097,2386,2487,1019,2572,3754,7998,4011,1625,6273,4803,4746,4088,2190,4517,2927,5473,3950
K00055,215,306,111,61,104,146,123,548,234,84,156,219,83,265,163,127,315,317,126
K00057,14439,9509,8148,7498,1548,6612,6852,14639,10032,7944,9774,15583,9021,7600,9383,9849,10426,8116,6353
K00058,23067,25733,28890,24668,4356,17559,20074,33057,28656,25327,28933,30730,30468,20995,29578,29978,18286,22383,17056
K00059,32290,51546,35819,30122.5,9986,37888.5,35902,64292,48263,33047.5,41380,48905,38112.5,42278,39551.5,40374,31476,47310.5,30591
K00060,2097,1781,1078,1320,611,1057,1716,2737,1663,944,2461,1666,2217,1371,786,1863,2838,2085,3067
K00061,7,42,83,74,3,20,28,13,15,99,55,31,65,19,39,75,1,18,14
K00062,1,6,7,1,0,24,15,9,6,16,2,17,7,1,5,9,0,5,1
K00063,5,17,13,3,0,6,10,5,8,5,7,20,3,19,5,3,10,1,6
K00064,1477,2928,2096,1515,688,2266,1544,2514,3397,1563,2358,2813,1924,2804,1943,3121,1111,1623,2057
K00065,4524,4769.5,4288,3588,1095.5,4570,3739.5,6523.5,5707,4306,4501.5,5634.5,3706.5,4402,5004.5,5579,3938,4565,3347.5
K00066,87,232,105,68,98,193,195,644,143,167,114,391,293,255,127,52,211,450,150
K00067,7177,5448.5,4796,3897,921,3483,3357.5,9440,4983,4940,4022.5,7217.5,4414.5,3949,4898.5,4390.5,5638.5,4175.5,3017.5
K00068,105,296,192,194,39,294,266,340,315,220,194,278,174,220,252,442,124,323,297
K00069,123,133,68,72,144,151,121,120,116,74,174,111,139,179,101,110,96,79,115
K00070,1,0,2,0,0,0,0,0,3,3,2,0,0,1,1,3,2,0,1
K00071,0,0,2,0,0,0,1,0,2,1,1,0,1,0,0,1,0,1,0
K00072,8,1,2,5,6,7,2,4,2,1,1,5,7,2,5,3,4,0,1
K00073,83,403,346,318,49,436,335,412,386,514,236,364,251,355,399,407,112,258,132
K00074,3915,11054,3762,3720,1792,5101,5417,8800,7396,2663,8257,6232,7095,6602,3133,6550,5078,7072,6426
K00075,10312,6817,11814,9397,1052,4605,5911,11286,7102,11238,8473,12168,10209,5224,11287,9044,6957,5016,6214
K00076,1075,1648,738,778,390,1132,924,964,1681,528,1454,1287,1279,1534,754,1408,905,752,1797
K00077,2912,6560,5074,4730,1123,5293,4247,6924,6688,4646,5559,5395,5000,5805,4743,7641,2380,5482,4671
K00078,561,501,483,394,442,657,652,611,721,509,753,605,796,836,538,456,374,443,443
K00079,93,148,126,96,155,139,118,34,145,83,219,139,182,168,79,106,61,53,115
K00081,28,7,2,4,2,13,10,10,14,11,9,28,1,9,5,7,3,8,3
K00082,7,946,2782,1099,23,366,630,105,904,2621,611,153,1563,430,2533,1035,14,87,350
K00083,56,126,49,53,32,74,73,34,90,30,102,115,96,82,46,68,55,18,50
K00084,1,4,1,0,0,5,1,2,4,2,0,7,0,0,5,2,1,3,0
K00085,2,4,3,9,3,6,7,7,9,2,9,5,15,1,8,12,0,0,1
K00086,43,93,63,45,33,149,95,39,113,92,113,92,72,104,101,91,24,45,48
K00087,269,2559,927,427,397,1697,1644,2971,1852,830,1169,1109,752,1707,688,605,610,3015,972
K00088,22162,26598,25176.5,22654.5,3087,14825,15395.5,30930.5,26469.5,19950,31224,31314,30088.5,19378.5,26662.5,35010.5,18832,19379,24416
K00090,425,745,462,558,206,643,402,969,874,350,681,773,676,811,481,902,366,676,1041
K00091,1645,3266,2908,4531,467,2973,2522,3436,3923,3220,3483,3714,5746,2418,6465,4263,1599,2225,1848
K00093,2,8,25,37,2,9,33,3,11,28,30,10,36,8,21,39,1,2,7
K00094,4,34,24,15,0,30,14,12,37,33,23,12,37,5,53,10,0,11,6
K00096,151,557,418,354,40,439,917,3851,623,361,562,1094,493,321,388,647,870,2428,141
K00097,14024,8197,13592,10895,1256,6246,5911,10558,10544,12219,10588,13538,11398,6423,13538,13780,9110,4596,5755
K00098,637,490,316,270,183,513,150,227,740,260,138,527,193,600,524,468,378,195,115
K00099,9996,9034,12092,9176,1786,5576,6823,13796,9364,11674,9096,11799,11827,7382,12231,9163,9341,7411,7358
K00100,72,136,125,66,31,119,61,122,138,100,80,137,83,108,119,80,45,101,81
K00101,22443,17410,23890,24606,2594,13040,14751,18004,23868,19739,30218,31747,28617,15449,28719,36010,13206,10913,17549
K00102,10732,12449,11175,11414,1596,8381,7528,9946,14874,9240,14721,14347,12856,9907,13941,16231,6885,7312,9402
K00103,290,507,221,95,163,489,500,817,434,175,243,389,144,415,227,194,352,613,195
K00104,10290,10289,7169,4756,1934,5315,5519,16432,8403,5413,6238,9329,6032,8234,4257,7433,10089,11350,6370
K00105,297,63,37,18,40,46,78,90,82,26,74,50,55,62,44,60,192,96,76
K00106,791,2296,1258,942,604,966,724,505,1598,652,1287,1825,1550,2149,654,965,576,347,765
K00107,37,76,7,7,45,52,19,101,42,4,6,35,8,35,5,6,86,54,26
K00108,45236,42425,33375,26594,8290,26957,20852,50895,43804,24636,36003,51573,32524,39288,35711,41182,37689,30836,22118
K00109,297,567,485,354,44,437,367,635,586,538,493,386,450,424,462,416,257,466,338
K00111,7831,10101,3752,5446,2652,4814,4435,7668,7134,2597,6612,7721,6153,8260,3626,8055,7284,4833,6232
K00112,6,0,0,0,1,0,1,5,0,0,0,1,0,4,0,0,2,1,0
K00113,9576,2944,3539,43,252,1876,1108,6155,3238,2480,1033,10460,558,2397,3715,100,5276,3004,426
K00114,2459,3624,1059,1312,1099,3074,1706,2876,3974,750,2323,2524,2060,3464,979,1755,1866,2433,3078
K00115,170,194,149,108,53,122,105,307,215,90,205,214,130,180,131,231,171,218,106
K00116,118,2433,4916,4083,481,1894,2412,394,3141,5239,3215,789,5661,1479,5526,4618,294,264,3287
K00117,9894,18074,5494,4789,3797,12884,8893,15403,17431,4842,10359,18046,7182,16218,8886,6497,7933,10913,6736
K00118,284,523,344,379,125,662,412,901,819,314,329,582,387,577,555,664,375,484,445
K00121,6708,13369,4841,4231,3284,6951,5505,12599,10137,3083,7078,9525,6012,12733,4765,7214,6794,10614,7808
K00122,15029,10977,11632,11743,1796,8573,7752,12079,14501,9370,17224,15939,15549,10525,13936,20574,9951,6904,13278
K00123,31626,29334,14793,8714,4721,14013,14497,41236,23427,8647,20162,38768,15520,22311,12479,15917,25050,27559,19574
K00124,1479,2917,673,309,440,1031,677,2116,1593,340,709,1408,549,1751,391,277,1344,1702,1211
K00126,32,37,3,2,4,30,6,29,17,0,0,35,0,16,2,2,17,27,7
K00127,1129,1533,568,358,339,877,492,949,1269,344,660,944,698,1085,366,314,720,756,1072
K00128,62694,57700,45852.5,42151,8758.5,31944,35230,70808,56312.5,33560.5,67483,74860,57908,48697.5,51544.5,63824,50732.5,42478,48947.5
K00129,347,616,306,384,245,382,406,798,458,274,473,724,395,679,322,498,432,471,389
K00130,12124,6488,3539,2630,1384,3252,4142,12113,5767,2417,6419,10855,5580,4774,4993,3913,8465,6445,5221
K00131,3005,1178,1151,1404,316,747,661,479,1247,598,1782,1643,1293,1131,1109,1457,1358,292,608
K00132,12,55,2,2,10,16,38,134,9,2,15,38,8,54,0,33,37,112,11
K00133,18317,16049,21037,18110,2169,10582,11482,24014,19811,17230,18275,22275,21467,11850,21654,23217,14654,13517,10704
K00134,23064,21106,21503,18927,3690,12117,12349,22315,21916,15518,24928,27056,25102,16972,20938,23100,17008,13111,14367
K00135,19261,17071,17769,17556,3338,10122,11775,22570,17841,13456,24009,24097,22588,13619,17654,21843,14733,13549,16908
K00137,362,252,71,222,37,94,258,587,190,56,435,558,251,244,71,190,442,465,175
K00138,12265,4432,8364,9670,545,3163,3500,3945,6591,6651,11673,15903,11398,3846,10417,12807,6051,1720,5325
K00139,23,58,50,47,29,47,53,49,71,34,93,50,70,71,50,82,19,28,91
K00140,21563,17502,18239,16005,2311,10376,10783,22269,20261,13383,22735,26619,21212,14143,19869,25609,16336,14085,13994
K00141,65,70,50,85,18,35,50,82,90,37,110,47,50,112,55,96,75,52,84
K00142,31,558,27,15,53,57,16,9,79,11,23,98,33,105,12,14,16,6,14
K00143,33,44,32,21,16,52,45,17,75,21,35,41,45,46,44,29,37,19,26
K00145,12626,10952,14054,11156,1793,7106,6892,14307,12224,12278,10321,13778,11894,8728,14021,14171,9219,8239,6463
K00146,654.5,1241,678.5,796,333.5,529.5,997.5,1805,865.5,591,1282.5,1048.5,947.5,1080.5,687.5,1080,800,1458.5,1193.5
K00147,16017,13111,19479,15002,2127,8656,9510,18101,15774,16710,16347,19207,17761,10441,20091,17956,11883,10285,8752
K00148,186,262,54,50,137,119,105,388,188,31,93,369,76,368,36,56,243,406,93
K00149,26,36,37,27,3,28,29,51,41,14,70,31,47,80,37,26,33,34,46
K00150,376,4060,6196,4576,342,2058,4165,5747,3592,5720,6064,3249,8437,2047,6128,5368,1275,2951,3512
K00151,1304,3500,702,941,539,948,1087,1814,1533,423,1851,2205,1283,3018,609,1871,1276,1563,1380
K00152,0,0,0,0,0,1,0,0,0,0,5,1,3,2,0,0,0,0,8
K00153,256,1117,242,268,183,604,571,1923,837,187,519,567,419,1001,334,523,504,1533,681
K00154,4778,3572,3288,2931,1052,2373,2274,2659,4106,2506,4395,4310,3690,2672,3630,4262,3337,1577,3072.5
K00156,62,222,54,72,102,126,133,374,148,38,131,124,266,141,42,63,191,284,258
K00157,54,44,39,35,17,46,57,32,55,23,57,41,65,37,30,31,36,20,44
K00158,10,52,10,5,2,104,23,62,75,22,20,24,39,65,14,11,12,74,42
K00161,3898.5,8868.5,9807,8767,1431.5,5944.5,5304.5,4891,10212,7926,10675,6567.5,11973,7354,9787,12568,3171.5,3803,10217
K00162,4349,9910,9274.5,8669,1332,5865.5,5263,5773.5,10417.5,7076.5,10653.5,7542.5,10792,8414.5,9047,11774.5,3675,4667,8719
K00163,40493,44212,30821,27701,5265,21445,22602,43256,38756,24644,44525,47516,39356,28248,31253,41479,30325,27956,23136
K00164,48007,36454,37185,37911,5371,22778,21138,35371,44663,28182,47065,53234,43490,29754,41478,54800,31780,20390,28683
K00166,869,4340,1245,1469,793,1324,1786,2570,2166,868,3815,2022,3739,2230,814,2202,1428,1977,2398
K00167,901,4890,1404,1471,736,1488,2031,3042,2473,921,4420,2397,3798,2737,962,2467,1498,2605,2847
K00169,60,182,1,0,110,4,122,1514,13,1,10,217,0,162,0,0,402,1169,0
K00170,36,161,7,0,43,8,146,1718,14,9,21,235,9,160,2,0,438,1207,5
K00171,0,11,0,1,5,1,11,126,1,2,0,13,3,17,1,0,8,118,9
K00172,36,91,0,0,43,5,59,697,8,1,2,99,0,79,1,0,202,552,0
K00174,4184,19434,6098,3707,2003,7393,10158,20365,12291,4256,13479,11314,9591,12317,5701,6138,8507,16052,8807
K00175,2230,8981,3114,1869,888,3782,5340,10885,5983,2317,6674,6076,5110,5545,2901,3074,4512,8678,3460
K00176,1,4,0,0,0,5,16,16,10,0,0,2,0,8,1,0,9,17,1
K00177,0,6,2,0,0,6,6,5,4,0,9,5,1,8,0,0,1,6,0
K00179,738,1898,676,430,309,1015,855,1910,1581,355,1647,1065,928,1544,551,872,713,1714,1555
K00180,442,757,304,246,133,487,413,954,616,151,803,418,495,714,274,496,340,767,856
K00181,0,0,0,0,0,2,1,0,0,0,0,2,0,3,0,1,4,5,0
K00182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
K00183,9,68,19,0,12,47,91,114,37,16,17,31,5,50,10,4,25,91,4
K00184,6785,5356,3794,4323,728,4029,4466,6693,6403,2689,6419,7743,4726,4670,5133,6132,6650,4977,3545
K00185,4680,3958,2882,2975,611,2729,3082,5365,4588,1951,4703,5562,3616,3441,3893,4249,4805,4393,2834
K00186,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0
K00187,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
K00196,1,13,23,69,0,20,19,24,14,22,34,7,51,23,6,154,1,31,43
K00197,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
K00200,441,312,819,314,42,295,452,676,591,654,603,731,472,410,534,189,325,377,195
K00201,192,134,131,17,8,112,181,332,155,133,117,254,91,189,95,19,122,192,57
K00202,17,13,12,5,0,11,21,18,14,18,9,7,11,20,5,3,13,5,3
K00203,0,5,9,1,0,10,17,4,7,2,4,5,0,21,0,0,5,9,2
K00205,1,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,1,1,0
K00207,126,478,219,210,97,213,234,351,306,93,297,199,449,317,135,323,281,210,498
K00208,14766,14272,17712,17138,1943,8777,10024,15708,16673,14064,20726,20073,20588,11745,18742,21282,10506,9306,10571
K00209,1274,1200,763,751,502,1172,415,805,1620,455,650,783,567,1493,1026,1758,1014,541,1428
K00210,6446,1276,2180.5,2045.5,169.5,908,1223,3879,1623,2296.5,1975.5,5252,2025.5,798.5,3058,2165,3222,1362,366
K00211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
K00212,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K00213,190,771,151,137,252,214,167,74,361,66,434,515,415,632,128,143,148,46,221
K00214,14,14,4,9,0,22,17,16,16,15,8,16,5,12,24,25,9,9,12
K00215,11245,9031,12504,10502,1531,6083,6298,11270,10485,11633,10897,12535,12404,7210,12820,13188,7682,6434,6837
K00216,24,156,57,45,34,153,112,107,153,56,74,100,30,162,54,65,44,129,55
K00217,137,690,285,110,159,564,324,230,774,225,280,422,192,651,305,357,165,267,233
K00218,1069,5259,14241,8021,638,3768,3843,560,6916,13748,6054,1960,10540,3330,14147,7014,799,333,4216
K00219,6485,6911,3951,3860,2661,4190,3330,6482,6087,2788,5774,4892,5275,5949,3282,5175,5502,4831,6715
K00220,2122.5,3311,4600.5,4469.5,436,2463,2613,3658.5,4197,4441,4642.5,5014,4570,2837.5,4565.5,5489.5,1600.5,1868.5,2782.5
K00221,0,3,0,3,23,8,37,97,2,7,3,7,11,1,0,6,0,104,43
K00222,164,398,198,193,190,136,144,35,210,87,379,183,358,260,115,167,117,30,171
K00223,12,94,16,19,37,32,32,5,48,4,52,53,47,115,9,10,18,4,46
K00225,236,847,206,186,322,265,170,16,488,69,384,656,429,765,124,200,138,36,265
K00226,77,98,172,131,33,116,85,168,148,125,132,195,270,134,162,174,65,89,127
K00227,231,686,291,250,194,342,348,474,486,140,448,639,556,660,174,283,211,325,261
K00228,13391,12481,15372,14110,1976,8735,7711,10253,15985,13536,17556,16882,17897,9529,16203,21472,8659,5264,10261
K00230,2365,492,920,4526,41,661,1544,607,1191,1719,3518,2569,4142,625,2573,4675,1059,179,1134
K00231,603,1790,616,754,583,934,1277,1692,1264,498,1348,1399,1214,1760,545,1014,650,1226,869
K00232,1022,2614,715,455,753,923,551,256,1526,299,920,1947,1033,2278,475,569,813,261,702
K00234,754,2178,1330,844,550,941,633,654,1734,804,2030,1914,1842,2043,1069,1503,583,498,1299
K00235,409,709,717,392,197,372,337,455,711,494,792,955,780,805,548,622,327,262,332
K00236,42,288,56,31,44,88,46,40,121,68,93,185,58,161,66,48,26,22,26
K00237,22,110,24,11,38,36,27,2,47,16,21,91,38,120,18,18,14,2,20
K00239,34889,47549,33738,34152,4718,24984,26829,44456,46515,25048,58394,49584,49825,34867,36615,58710,30728,32037,36713
K00240,14223,16377,13752,12829,1579,9123,10702,19417,17106,10498,19687,19882,17430,11513,14847,19814,12154,12754,9363
K00241,6581,5795,4881,4643,641,3852,4131,7943,6427,4423,5547,6856,5135,3657,5401,6351,5280,4940,3189
K00242,3006,2405,2622,2574,294,1640,1524,3331,2945,2206,3281,3447,2853,1965,2849,3501,1898,1916,2267
K00243,991,532,234,267,238,500,192,516,655,118,200,809,337,662,336,461,715,375,246
K00244,1092,4365,1230,1124,727,1905,1460,2656,2496,886,2046,1337,1705,2757,829,1896,1233,2376,2655
K00245,37,356,170,16,46,145,77,355,221,86,78,111,30,257,65,26,78,334,48
K00246,8,119,72,6,7,46,20,33,54,20,8,17,9,58,26,9,10,42,3
K00247,21,143,55,2,18,62,13,72,67,43,13,22,7,108,30,6,13,56,9
K00248,7951,11177,5711,4710,2653,6638,6916,11584,9464,4311,9914,9914,8849,8997,5971,8224,7992,8732,6804
K00249,56542,74733,47974,45002,14565,48105,39127,67476,72695,35900,65259,70087,57617,59836,51202,69143,47265,46625,53172
K00251,8,1,3,4,1,1,6,5,1,0,3,0,12,6,2,4,6,5,4
K00252,10257,15341,8306,8617,2290,8031,8007,12214,14051,5771,15513,14117,13896,10970,8191,14317,9818,8969,10410
K00253,4540,10672,3751,4080,2094,4707,4275,7126,7173,2682,8178,5807,6889,7002,3220,7505,4999,5656,7402
K00254,14404,11284,17224,17194,1722,7604,8953,12566,12580,15540,15480,17541,18892,7977,17650,20954,8821,5688,8682
K00255,502,1386,535,416,182,736,477,725,1180,251,952,1246,798,1208,475,1216,652,544,1067
K00256,109.5,478.5,364,151,89,584,302,332.5,740.5,323,218,280.5,224,320,378.5,197,79,293.5,334
K00257,23,338,61,32,21,152,188,215,182,39,111,166,134,235,40,57,81,208,196
K00259,14124,15592,10933,10523,1279,8023,8592,15791,15093,8086,17092,17578,13448,11216,13150,15237,11450,10265,10944
K00260,94,348,258,230,22,152,373,1446,296,252,518,526,348,229,191,259,364,785,167
K00261,8158,6234,3317,5366,1131,3323,4101,8414,5365,2689,7767,5643,6403,5172,3258,9427,5662,5412,6158
K00262,4409,8475,3539,3285,1215,3475,4588,6703,6105,2444,9007,8414,7229,5528,3660,5049,4970,5272,4899
K00263,1567,2447,858,4149,235,934,1423,1935,1560,1112,3689,2212,5140,1531,3137,5135,1664,1213,2848
K00264,1675,5603,2049,1310,1589,2353,1812,3521,4106,1121,3069,2861,2388,3981,2394,2131,1965,2978,2454
K00265,73770,65189,60074,58474,9052,39251,36211,67840,75249,46455,80389,83836,68794,50468,67151,89344,50324,43704,53558
K00266,23863,22904,20417,15565,2640,14311,12502,24324,25751,15740,26112,29622,21215,17478,22431,23725,16672,15802,16027
K00270,22,11,13,2,0,2,3,15,6,3,7,31,12,8,6,2,25,11,6
K00271,10,14,3,20,7,14,13,29,12,12,19,14,27,10,2,24,14,23,22
K00272,16,300,102,28,13,113,153,132,139,80,150,66,141,84,48,28,42,88,84
K00273,536,2039,5703,2968,237,1857,1814,1243,2711,5163,2539,1136,4076,1307,5124,3785,469,954,1695
K00274,1308,1297,448,392,552,605,1124,1805,689,420,1139,1514,891,1254,388,618,1162,1278,700
K00275,8146.5,7198.5,7480.5,7805.5,914,5088,5225.5,8713,8330,6214,10014.5,9454.5,9000.5,5532.5,8273,10302,5719.5,5003,5725
K00276,544,2093,1232,1192,566,1383,1130,2302,1943,812,1436,1675,1016,1746,1281,2038,783,1714,1257
K00277,8,12,8,5,0,6,5,8,6,3,8,9,7,6,7,21,25,3,6
K00278,6173,12759.5,12453,8652,2285.5,7248.5,6230.5,8594,12318.5,10839,10535,9523.5,12754,10046,13037.5,13459.5,7180,5754,12179.5
K00279,15,17,11,23,3,14,22,52,18,13,39,17,68,27,16,44,26,33,32
K00280,25,28,18,48,29,33,19,28,47,22,49,36,64,51,19,65,55,15,44
K00281,44496,44955,53124,46913,6417,27341,24921,33217,52451,43311,55339,51023,56578,37562,60576,64801,33842,23027,41453
K00282,602,4513,1463,1595,551,2150,2585,3694,2925,1270,3819,2745,3141,2865,1504,2455,1319,3293,2288
K00283,724,8317,2116,2831,1020,3296,3752,5291,5031,1617,7192,4180,5225,5268,2203,3971,2024,4683,4422
K00284,4892,16369,28576,22087,1902,9911,10620,8788,19090,22610,20554,9433,28759,12746,28227,28078,5039,6834,19633
K00285,16774,9185,12137,11568,1425,5893,7443,16814,9406,10599,13045,16905,13075,7372,12372,12951,11751,8560,5945
K00286,8971,7535,9743,7727,1375,4962,5585,10758,7856,9246,7700,10035,9795,6013,10805,8452,6137,5617,6084
K00287,3686,2772,2176,2102,586,2145,1980,3321,3152,1814,2913,3583,2545,2242,2359,3579,3308,1949,1709
K00288,320,1417,520,368,381,542,635,692,930,263,1172,716,1058,1071,438,546,448,650,613
K00289,46,80,24,21,41,71,69,134,104,19,67,72,52,89,39,27,58,99,57
K00290,2072,2228,1903,3130,550,2278,1831,2128,2916,1662,3628,2379,3769,1853,1869,4723,1307,1081,4830
K00293,2321,1134,704,1117,237.5,729,586,2001,1133,554.5,1270,1502,1068,1006,799,2150,2260.5,791.5,900.5
K00294,4860,9477,3752,4043,1349,3296,5186,8191,6537,2804,10451,8304,8855,5215,3713,5366,5746,5967,5361
K00295,103,138,104,64,183,104,73,26,144,34,240,126,252,240,63,101,69,12,146
K00297,13020,10384.5,12657.5,11011,1746.5,6447,8077,17173,10519.5,10661.5,13456.5,14318.5,14735.5,7987,13398,13280,10598.5,9612,10213
K00298,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0
K00299,104,852,165,133,77,241,552,1776,307,176,332,563,280,455,195,240,450,1575,187
K00301,29,230,144,62,37,216,228,353,268,132,97,166,102,194,123,51,101,297,171
K00302,57571,33682,35752,31770,5363,19489,21110,53859,38022,26773,44632,63607,41003,27914,43408,42860,37832,26917,19927
K00303,27138,30927,17200,14668,3481,15520,12454,26867,28077,12805,27622,32726,21708,25941,21200,29006,20432,18892,23745
K00304,5671,4772,3552,3316,594,2511,2318,5337,5142,2614,5215,6502,4381,3490,4410,5400,3822,3304,2989
K00305,6784,2378,3643,3587,363,1592,2100,4938,2811,3642,3530,6430,3772,1561,4841,3380,3134,1739,1342
K00306,60,111,106,132,100,130,153,233,162,90,227,131,226,183,66,129,74,179,130
K00308,1,3,4,4,3,7,10,2,5,6,7,1,12,6,14,3,0,0,2
K00310,1,6,0,0,0,4,1,2,0,2,3,0,0,2,0,0,4,0,1
K00311,21410,14189,18464,18387,2262,8786,10247,20280,17318,13548,23795,25271,22079,11989,20411,21875,14089,10536,12867
K00313,13,80,54,14,7,59,144,676,73,77,113,61,275,54,40,30,40,331,106
K00314,2243,2878,935,699,279,1523,1278,2198,2069,652,1549,1752,1186,2412,1160,1359,1889,1748,1283
K00315,41443,33933,30025,26896,5257,16453,22699,60391,31263,21116,44948,41198,38474,30035,29408,41902,38514,36587,30290
