Sample_id,Sample_id,Depth,LAT,LON,water.mass
34369,34369,10,-66.33315,-169.99998,SO
34393,34393,10,-52.0028,-170.0688,SO
34402,34402,10,-47.48835,-169.98377,STF
34415,34415,10,-41.72763,-173.95137,STF
34421,34421,10,-39.07282,-172.11525,STF
34430,34430,10,-35.01347,-169.99127,SPSG
34450,34450,10,-23.99563,-170.00355,SPSG
34458,34458,10,-19.99822,-170.0022,SPSG
34473,34473,10,-12.9974,-169.99823,SPSG
34481,34481,10,-8.99877,-168.87517,PED
34499,34499,10,0.00383,-168.73662,PED
