K00099,9996,9034,12092,9176,13796,9364,11674,9096,7382,12231,9163
K00100,72,136,125,66,122,138,100,80,108,119,80
K00101,22443,17410,23890,24606,18004,23868,19739,30218,15449,28719,36010
K00102,10732,12449,11175,11414,9946,14874,9240,14721,9907,13941,16231
K00103,290,507,221,95,817,434,175,243,415,227,194
K00104,10290,10289,7169,4756,16432,8403,5413,6238,8234,4257,7433
K00105,297,63,37,18,90,82,26,74,62,44,60
K00106,791,2296,1258,942,505,1598,652,1287,2149,654,965
K00107,37,76,7,7,101,42,4,6,35,5,6
K00108,45236,42425,33375,26594,50895,43804,24636,36003,39288,35711,41182
K00109,297,567,485,354,635,586,538,493,424,462,416
K00111,7831,10101,3752,5446,7668,7134,2597,6612,8260,3626,8055
K00112,6,0,0,0,5,0,0,0,4,0,0
K00113,9576,2944,3539,43,6155,3238,2480,1033,2397,3715,100
K00114,2459,3624,1059,1312,2876,3974,750,2323,3464,979,1755
K00115,170,194,149,108,307,215,90,205,180,131,231
K00116,118,2433,4916,4083,394,3141,5239,3215,1479,5526,4618
K00117,9894,18074,5494,4789,15403,17431,4842,10359,16218,8886,6497
K00118,284,523,344,379,901,819,314,329,577,555,664
K00121,6708,13369,4841,4231,12599,10137,3083,7078,12733,4765,7214
K00122,15029,10977,11632,11743,12079,14501,9370,17224,10525,13936,20574
K00123,31626,29334,14793,8714,41236,23427,8647,20162,22311,12479,15917
K00124,1479,2917,673,309,2116,1593,340,709,1751,391,277
K00126,32,37,3,2,29,17,0,0,16,2,2
K00127,1129,1533,568,358,949,1269,344,660,1085,366,314
K00128,62694,57700,45852.5,42151,70808,56312.5,33560.5,67483,48697.5,51544.5,63824
K00129,347,616,306,384,798,458,274,473,679,322,498
K00130,12124,6488,3539,2630,12113,5767,2417,6419,4774,4993,3913
K00131,3005,1178,1151,1404,479,1247,598,1782,1131,1109,1457
K00132,12,55,2,2,134,9,2,15,54,0,33
K00133,18317,16049,21037,18110,24014,19811,17230,18275,11850,21654,23217
K00134,23064,21106,21503,18927,22315,21916,15518,24928,16972,20938,23100
K00135,19261,17071,17769,17556,22570,17841,13456,24009,13619,17654,21843
K00137,362,252,71,222,587,190,56,435,244,71,190
K00138,12265,4432,8364,9670,3945,6591,6651,11673,3846,10417,12807
K00139,23,58,50,47,49,71,34,93,71,50,82
K00140,21563,17502,18239,16005,22269,20261,13383,22735,14143,19869,25609
K00141,65,70,50,85,82,90,37,110,112,55,96
K00142,31,558,27,15,9,79,11,23,105,12,14
K00143,33,44,32,21,17,75,21,35,46,44,29
K00145,12626,10952,14054,11156,14307,12224,12278,10321,8728,14021,14171
K00146,654.5,1241,678.5,796,1805,865.5,591,1282.5,1080.5,687.5,1080
K00147,16017,13111,19479,15002,18101,15774,16710,16347,10441,20091,17956
K00148,186,262,54,50,388,188,31,93,368,36,56
K00149,26,36,37,27,51,41,14,70,80,37,26
K00150,376,4060,6196,4576,5747,3592,5720,6064,2047,6128,5368
K00151,1304,3500,702,941,1814,1533,423,1851,3018,609,1871
K00152,0,0,0,0,0,0,0,5,2,0,0
K00153,256,1117,242,268,1923,837,187,519,1001,334,523
K00154,4778,3572,3288,2931,2659,4106,2506,4395,2672,3630,4262
K00156,62,222,54,72,374,148,38,131,141,42,63
K00157,54,44,39,35,32,55,23,57,37,30,31
K00158,10,52,10,5,62,75,22,20,65,14,11
K00161,3898.5,8868.5,9807,8767,4891,10212,7926,10675,7354,9787,12568
K00162,4349,9910,9274.5,8669,5773.5,10417.5,7076.5,10653.5,8414.5,9047,11774.5
K00163,40493,44212,30821,27701,43256,38756,24644,44525,28248,31253,41479
K00164,48007,36454,37185,37911,35371,44663,28182,47065,29754,41478,54800
K00166,869,4340,1245,1469,2570,2166,868,3815,2230,814,2202
K00167,901,4890,1404,1471,3042,2473,921,4420,2737,962,2467
K00169,60,182,1,0,1514,13,1,10,162,0,0
K00170,36,161,7,0,1718,14,9,21,160,2,0
K00171,0,11,0,1,126,1,2,0,17,1,0
K00172,36,91,0,0,697,8,1,2,79,1,0
K00174,4184,19434,6098,3707,20365,12291,4256,13479,12317,5701,6138
K00175,2230,8981,3114,1869,10885,5983,2317,6674,5545,2901,3074
K00176,1,4,0,0,16,10,0,0,8,1,0
K00177,0,6,2,0,5,4,0,9,8,0,0
K00179,738,1898,676,430,1910,1581,355,1647,1544,551,872
K00180,442,757,304,246,954,616,151,803,714,274,496
K00181,0,0,0,0,0,0,0,0,3,0,1
K00182,0,0,0,0,0,0,0,0,1,0,0
K00183,9,68,19,0,114,37,16,17,50,10,4
K00184,6785,5356,3794,4323,6693,6403,2689,6419,4670,5133,6132
K00185,4680,3958,2882,2975,5365,4588,1951,4703,3441,3893,4249
K00186,0,0,0,0,3,0,0,0,0,0,0
K00187,0,0,0,0,0,0,0,0,3,0,0
K00196,1,13,23,69,24,14,22,34,23,6,154
K00197,0,0,1,0,2,0,0,0,0,0,0
K00200,441,312,819,314,676,591,654,603,410,534,189
K00201,192,134,131,17,332,155,133,117,189,95,19
K00202,17,13,12,5,18,14,18,9,20,5,3
K00203,0,5,9,1,4,7,2,4,21,0,0
K00205,1,0,0,1,0,0,0,3,0,0,0
K00207,126,478,219,210,351,306,93,297,317,135,323
K00208,14766,14272,17712,17138,15708,16673,14064,20726,11745,18742,21282
K00209,1274,1200,763,751,805,1620,455,650,1493,1026,1758
K00210,6446,1276,2180.5,2045.5,3879,1623,2296.5,1975.5,798.5,3058,2165
K00211,0,0,0,0,0,0,1,0,0,0,0
K00212,1,0,1,0,0,1,0,0,0,0,0
K00213,190,771,151,137,74,361,66,434,632,128,143
K00214,14,14,4,9,16,16,15,8,12,24,25
K00215,11245,9031,12504,10502,11270,10485,11633,10897,7210,12820,13188
K00216,24,156,57,45,107,153,56,74,162,54,65
K00217,137,690,285,110,230,774,225,280,651,305,357
K00218,1069,5259,14241,8021,560,6916,13748,6054,3330,14147,7014
K00219,6485,6911,3951,3860,6482,6087,2788,5774,5949,3282,5175
K00220,2122.5,3311,4600.5,4469.5,3658.5,4197,4441,4642.5,2837.5,4565.5,5489.5
K00221,0,3,0,3,97,2,7,3,1,0,6
K00222,164,398,198,193,35,210,87,379,260,115,167
K00223,12,94,16,19,5,48,4,52,115,9,10
K00225,236,847,206,186,16,488,69,384,765,124,200
K00226,77,98,172,131,168,148,125,132,134,162,174
K00227,231,686,291,250,474,486,140,448,660,174,283
K00228,13391,12481,15372,14110,10253,15985,13536,17556,9529,16203,21472
K00230,2365,492,920,4526,607,1191,1719,3518,625,2573,4675
K00231,603,1790,616,754,1692,1264,498,1348,1760,545,1014
K00232,1022,2614,715,455,256,1526,299,920,2278,475,569
K00234,754,2178,1330,844,654,1734,804,2030,2043,1069,1503
K00235,409,709,717,392,455,711,494,792,805,548,622
K00236,42,288,56,31,40,121,68,93,161,66,48
K00237,22,110,24,11,2,47,16,21,120,18,18
K00239,34889,47549,33738,34152,44456,46515,25048,58394,34867,36615,58710
K00240,14223,16377,13752,12829,19417,17106,10498,19687,11513,14847,19814
K00241,6581,5795,4881,4643,7943,6427,4423,5547,3657,5401,6351
K00242,3006,2405,2622,2574,3331,2945,2206,3281,1965,2849,3501
K00243,991,532,234,267,516,655,118,200,662,336,461
K00244,1092,4365,1230,1124,2656,2496,886,2046,2757,829,1896
K00245,37,356,170,16,355,221,86,78,257,65,26
K00246,8,119,72,6,33,54,20,8,58,26,9
K00247,21,143,55,2,72,67,43,13,108,30,6
K00248,7951,11177,5711,4710,11584,9464,4311,9914,8997,5971,8224
K00249,56542,74733,47974,45002,67476,72695,35900,65259,59836,51202,69143
K00251,8,1,3,4,5,1,0,3,6,2,4
K00252,10257,15341,8306,8617,12214,14051,5771,15513,10970,8191,14317
K00253,4540,10672,3751,4080,7126,7173,2682,8178,7002,3220,7505
K00254,14404,11284,17224,17194,12566,12580,15540,15480,7977,17650,20954
K00255,502,1386,535,416,725,1180,251,952,1208,475,1216
K00256,109.5,478.5,364,151,332.5,740.5,323,218,320,378.5,197
K00257,23,338,61,32,215,182,39,111,235,40,57
K00259,14124,15592,10933,10523,15791,15093,8086,17092,11216,13150,15237
K00260,94,348,258,230,1446,296,252,518,229,191,259
K00261,8158,6234,3317,5366,8414,5365,2689,7767,5172,3258,9427
K00262,4409,8475,3539,3285,6703,6105,2444,9007,5528,3660,5049
K00263,1567,2447,858,4149,1935,1560,1112,3689,1531,3137,5135
K00264,1675,5603,2049,1310,3521,4106,1121,3069,3981,2394,2131
K00265,73770,65189,60074,58474,67840,75249,46455,80389,50468,67151,89344
K00266,23863,22904,20417,15565,24324,25751,15740,26112,17478,22431,23725
K00270,22,11,13,2,15,6,3,7,8,6,2
K00271,10,14,3,20,29,12,12,19,10,2,24
K00272,16,300,102,28,132,139,80,150,84,48,28
K00273,536,2039,5703,2968,1243,2711,5163,2539,1307,5124,3785
K00274,1308,1297,448,392,1805,689,420,1139,1254,388,618
K00275,8146.5,7198.5,7480.5,7805.5,8713,8330,6214,10014.5,5532.5,8273,10302
K00276,544,2093,1232,1192,2302,1943,812,1436,1746,1281,2038
K00277,8,12,8,5,8,6,3,8,6,7,21
K00278,6173,12759.5,12453,8652,8594,12318.5,10839,10535,10046,13037.5,13459.5
K00279,15,17,11,23,52,18,13,39,27,16,44
K00280,25,28,18,48,28,47,22,49,51,19,65
K00281,44496,44955,53124,46913,33217,52451,43311,55339,37562,60576,64801
K00282,602,4513,1463,1595,3694,2925,1270,3819,2865,1504,2455
K00283,724,8317,2116,2831,5291,5031,1617,7192,5268,2203,3971
K00284,4892,16369,28576,22087,8788,19090,22610,20554,12746,28227,28078
K00285,16774,9185,12137,11568,16814,9406,10599,13045,7372,12372,12951
K00286,8971,7535,9743,7727,10758,7856,9246,7700,6013,10805,8452
K00287,3686,2772,2176,2102,3321,3152,1814,2913,2242,2359,3579
K00288,320,1417,520,368,692,930,263,1172,1071,438,546
K00289,46,80,24,21,134,104,19,67,89,39,27
K00290,2072,2228,1903,3130,2128,2916,1662,3628,1853,1869,4723
K00293,2321,1134,704,1117,2001,1133,554.5,1270,1006,799,2150
K00294,4860,9477,3752,4043,8191,6537,2804,10451,5215,3713,5366
K00295,103,138,104,64,26,144,34,240,240,63,101
K00297,13020,10384.5,12657.5,11011,17173,10519.5,10661.5,13456.5,7987,13398,13280
K00298,11,0,0,0,0,0,0,0,0,0,0
K00299,104,852,165,133,1776,307,176,332,455,195,240
K00301,29,230,144,62,353,268,132,97,194,123,51
K00302,57571,33682,35752,31770,53859,38022,26773,44632,27914,43408,42860
K00303,27138,30927,17200,14668,26867,28077,12805,27622,25941,21200,29006
K00304,5671,4772,3552,3316,5337,5142,2614,5215,3490,4410,5400
K00305,6784,2378,3643,3587,4938,2811,3642,3530,1561,4841,3380
K00306,60,111,106,132,233,162,90,227,183,66,129
K00308,1,3,4,4,2,5,6,7,6,14,3
K00310,1,6,0,0,2,0,2,3,2,0,0
K00311,21410,14189,18464,18387,20280,17318,13548,23795,11989,20411,21875
K00313,13,80,54,14,676,73,77,113,54,40,30
K00314,2243,2878,935,699,2198,2069,652,1549,2412,1160,1359
K00315,41443,33933,30025,26896,60391,31263,21116,44948,30035,29408,41902
K00316,3104,3237,284,85,4244,1033,214,819,2060,302,181
K00317,5586,4798,1043,1076,13155,2206,621,1738,5168,459,996
K00318,2052,1771,1318,1349,2521,1562,1277,2299,1328,1339,1755
K00319,0,0,0,0,10,0,0,0,0,0,0
K00320,44,1296,189,40,1696,784,239,449,821,231,84
K00322,2487,1587,592,324,1933,1427,417,566,1559,736,597
K00323,946,1565,829,810,667,1233,434,2133,1871,633,1017
K00324,19205,28742,24277,21889,21821,30538,20302,29122,20102,25931,39995
K00325,18959,26880,25209,22049,23033,30623,19902,31076,18027,26711,39342
K00326,661,1305,785,1288,130,1302,482,2601,2149,759,1256
K00327,358,1454,324,360,38,754,121,593,1231,217,380
K00329,4243.5,2500.5,3628,3399.5,5818.5,2713,3543,3445.5,2053.5,3689,3835
K00330,4101,9150,4167,4259,6822,6840,3689,6555,6567,4752,9271
K00331,5874,11965,6335,5873,10511,9029,4650,11246,8983,6656,10551
K00332,6258,8569,5897,6101,9338,7768,4729,8270,5348,6470,10364
K00333,12997,21058,15130,14325,26141,19438,10872,23582,13435,14925,22921
K00334,5948,5417,5954,5566,6981,6249,4482,7571,3729,5941,8155
K00335,24899,17312,15663,12718,29490,17037,11086,21062,13638,15921,18835
K00336,21082,14144,16825,16475,21720,16299,13824,20784,11606,18347,21014
K00337,12136,13107,12013,10214,23661,12326,9382,16995,9248,12454,12378
K00338,3450,4427,3364,2994,7005,3807,2728,5293,3143,3374,3540
K00339,5754,4227,5496,5169,7776,4808,4531,5466,3090,5609,5600
K00340,3424,3655,3394,3283,6057,3703,3066,4365,2403,3471,3801
K00341,20421,23127,18947,17126,36491,22230,15219,25374,16220,19770,21424
K00342,17042,20498,15114,13784,30899,18494,12351,22003,15291,16433,17475
K00343,12778,12281,11626,10556,19796,11635,10332,13964,8216,11937,11642
K00344,21486,32105.5,22245.5,20896.5,30890,31988.5,16924,30290.5,27000.5,22958,31958
K00346,6501,2891,3301,3492,3948,4155,2628,4177,3025,4228,4266
K00347,6583,3065,3678,3860,4061,4316,2612,5237,3254,4254,5056
K00348,3198,1342,1582,2026,1742,2068,1260,1972,1440,1996,2385
K00349,3697,1827,1984,2364,2378,2598,1418,2797,1626,2528,3194
K00350,3672,1821,2063,2453,2288,2993,1500,3073,1847,2471,3145
K00351,7706,4506,4166,4746,4760,6223,2995,7098,4988,5223,7193
K00354,1202,1864,1382,912,1513,1820,1279,1439,1606,1304,1575
K00355,3854,1333,2630,2308,3269,1879,2665,2672,989,3053,1855
K00356,6046.5,2613.5,4749,4324.5,7020.5,2691,5055,3820.5,1835.5,5192,3666
K00357,22,8,26,12,7,23,15,15,15,14,8
K00360,0,7,0,0,2,5,0,4,8,1,1
K00362,266,1420,616,1380,1955,1481,338,2023,1061,322,1237
K00363,53,290,145,218,608,321,113,292,222,96,184
K00364,2609,10107,5774.5,6031.5,8484.5,6763.5,5411,10400,5995.5,6758.5,12324.5
K00365,512,954,415,355,673,794,245,879,807,324,554
K00366,362,3296,1919,535,445,1488,1782,1329,2196,1500,862
K00367,12,2865,2257,47,67,684,2237,209,588,1157,349
K00368,304,2029,127,155,7045,460,79,409,1184,151,306
K00370,94,327,12,35,1365,52,11,72,251,11,44
K00371,60,117,5,10,903,35,2,31,153,11,12
K00372,208,1678,668,1490,2314,2170,483,1658,983,629,1632
K00373,12,0,1,4,0,0,1,11,2,3,8
K00374,43,58,60,5,520,64,57,45,72,50,2
K00375,4499,2606,787,1094,3318,2001,393,1525,2572,848,2105
K00376,25,11,17,9,22,2,8,59,21,3,3
K00380,3438,5978,2002,6010,3450,5168,2172,8465,3886,3008,11349
K00381,5014,3413,1249,2395,5194,3898,942,2385,3008,1690,3244
K00382,32088,38293,34930,31232,39912,39333,26788,45432,29104,35758,43919
K00383,9799,8647,10270,7679,3809,10006,7834,7170,7103,9122,12468
K00384,28000,30018.5,37963,33245,31372,36590,31036,45852,22195.5,40754.5,49935
K00387,619,1018,592,507,982,1097,403,1321,1278,377,579
K00389,1,43,47,129,82,82,46,177,33,15,104
K00390,779,2449,4042,2720,4702,2352,3526,2398,1960,4029,2136
K00392,517,4527,9050,5654,7402,5302,7715,5536,2983,8472,4870
K00394,15479,12573,13335,4925,16563,15717,9299,16884,9094,15690,6524
K00395,4410,3444,3531,1203,4489,3941,2688,4349,2155,4256,1655
K00400,4,22,12,16,30,26,14,32,20,31,25
K00404,155,553,443,869,1375,818,266,945,382,325,899
K00405,116,281,188,387,841,407,122,384,250,143,504
K00406,193,401,240,498,806,436,176,687,336,94,542
K00407,8,45,37,58,71,52,13,80,44,10,44
K00408,0,0,0,2,1,0,0,7,3,0,0
K00410,45,146,146,92,91,189,119,163,94,149,224
K00411,8115,6705,6432,5448,6689,7550,4731,8586,5885,6597,10488
K00412,19615,17009,15893,16764,21408,19844,12191,20698,13110,18187,29748
K00413,9603,7647,7890,7072,7922,9215,6173,10341,5954,8285,12471
K00414,1,0,2,3,5,6,5,6,2,6,9
K00415,1,0,1,1,0,1,1,8,2,0,0
K00416,33,116,19,21,3,57,8,39,104,15,19
K00417,40,138,12,10,1,82,11,59,119,17,26
K00418,0,0,0,0,0,0,0,0,0,0,0
K00419,3,36,0,1,1,11,2,3,42,5,2
K00422,0,1,0,2,0,1,0,0,1,0,7
K00423,65,58,77,84,32,56,27,54,74,35,66
K00425,57,767,395,994,1387,704,283,1149,489,222,837
K00426,64,520,319,817,931,503,215,886,301,133,671
K00427,2,2,0,0,0,0,0,0,0,0,0
K00428,4718,4857,2724,2273,3278,4577,2107,5311,4474,2085,3556
K00430,11,21,9,11,15,11,12,27,22,12,9
K00431,0,7,6,0,5,4,9,11,7,3,1
K00432,8582,8000,8525,7594,7823,8472,8279,7185,5956,8439,10928
K00433,107,134,77,73,224,130,125,110,110,85,95
K00434,230,1211,137,99,18,424,60,269,756,96,125
K00435,10,267,46,36,323,263,46,166,286,87,73
K00436,0,1335,4384,2773,78,1768,4375,1896,776,4672,2072
K00441,114,601,329,54,1640,335,204,334,369,124,59
K00444,4,4,0,0,1,1,0,6,4,2,1
K00445,0,0,0,0,0,0,0,0,0,0,0
K00446,802,789,375,672,507,474,246,734,1015,334,1152
K00448,230,448,335,331,359,530,324,398,339,247,345
K00449,339,976,702,669,1111,1184,545,794,801,604,852
K00450,445,926,537,291,1134,620,371,658,1152,231,472
K00451,4132,2782,2035,2339,3670,3026,1450,3265,2747,1657,3115
K00452,958,797,421,366,1380,612,271,596,753,394,490
K00453,2941,3459,1484,1381,3796,2089,1424,3346,1952,1208,2026
K00454,0,10,8,19,4,23,6,3,12,11,10
K00455,11,65,13,4,335,5,4,8,22,0,5
K00456,82,272,96,50,241,178,114,312,198,100,63
K00457,3391,2350,1673,1850,3259,2176,1248,2559,2127,1362,2324
K00458,0,2,0,0,0,0,0,0,0,0,0
K00459,14491,14606,7865,8049,13269,15037,5742,12401,13296,8607,14570
K00460,0,0,0,0,2,0,0,0,0,0,0
K00461,18,12,27,27,10,21,6,34,26,10,19
K00462,14,9,4,0,23,7,13,7,14,10,3
K00463,1384,1101,756,1388,673,1046,730,2207,822,769,1748
K00464,283,3192,6934,5336,219,2082,6313,3797,2175,6788,3220
K00465,66,57,16,14,45,57,18,30,46,25,45
K00466,120,57,4,2,54,77,5,9,120,11,2
K00467,99,168,83,107,142,182,56,87,152,122,124
K00469,218,599,417,279,672,743,418,486,531,501,525
K00471,3013,2537,5874,4794,7787,3034,6414,4552,1406,5420,4342
K00472,2567,5298,1963,1892,1327,3006,1149,3234,4968,1661,2084
K00473,0,16,3,1,13,3,13,5,3,4,4
K00474,1370,295,887,512,1875,484,1040,296,176,856,484
K00475,14,28,19,4,66,34,17,21,33,29,27
K00476,458,759,545,502,94,663,238,846,890,295,477
K00477,1825,1748,1337,812,3891,1672,1179,1183,1616,1132,1126
K00479,1969,4044,2077,820,6024,3415,1680,2452,2909,2381,1186
K00480,7649,3186,5091,4853,5662,3922,5501,4006,2451,5602,4748
K00481,810,1387,1411,1738,784,1682,956,1537,1080,1108,2196
K00483,1724,2995,927,447,5350,1756,686,1126,3007,593,352
K00484,49,29,26,31,37,46,60,57,18,55,52
K00485,614,1113,495,566,159,688,349,874,832,353,542
K00486,2106,1326,874,863,1610,1114,629,1545,1397,759,1045
K00487,2,0,1,0,2,3,0,0,0,0,2
K00488,5,1,5,0,2,9,3,1,4,1,1
K00489,5,4,1,5,2,2,2,2,2,1,1
K00490,5,2,4,0,0,5,4,0,2,1,2
K00491,70,291,154,199,27,419,78,193,306,207,515
K00493,616,868,531,892,527,990,428,1217,817,471,1168
K00494,88,123,89,10,324,113,101,94,117,154,17
K00496,2483,3569,2871,2816,2813,3863,2239,4995,2717,2378,4176
K00497,0,0,0,1,0,0,0,0,0,0,1
K00498,0,0,0,0,1,0,1,0,0,0,0
K00499,15457,7882,5113,2953,20988,6041,4355,8116,5649,7430,3786
K00500,1600,929,470,753,1275,776,493,1545,867,497,863
K00501,7,20,15,8,22,20,13,25,25,7,17
K00502,2,15,13,5,2,15,7,10,7,7,6
K00503,64,25,50,95,21,40,31,76,41,49,61
K00504,350,602.5,126,163,521,445.5,125,230,643.5,217.5,156.5
K00505,81,82,156,154,40,142,63,169,170,69,135
K00506,0,0,1,4,0,0,0,3,0,1,3
K00507,1628,5940,6251,4438,4344,5466,5651,5536,4715,6481,5706
K00508,1735,766,344,536,796,619,207,604,721,354,611
K00509,0,0,0,0,0,0,0,1,0,0,1
K00510,14,9,9,6,1,17,3,3,2,9,2
K00511,44,660,143,108,47,283,136,141,423,124,84
K00512,114,48,22,21,43,62,14,75,36,44,22
K00513,1,26,2,0,0,3,0,3,6,0,2
K00514,157,2161,6849,4480,39,1854,6571,4121,1639,6790,3566
K00515,7,6,13,5,2,11,12,11,3,6,4
K00516,499,250,731,380,111,523,293,447,539,248,408
K00517,3,5,3,0,8,4,1,3,9,1,0
K00518,1351,3130,3452,3085,1057,4130,3891,4238,2415,4415,4789
K00520,327,747,323,492,926,571,273,873,674,271,714
K00521,229,239,290,244,37,214,72,233,284,99,211
K00522,39,377,30,17,31,185,61,31,282,48,47
K00523,1643,760,215,47,2732,438,196,296,597,226,60
K00524,0,3441,11931,7549,5,5193,10241,6915,1650,11444,8068
K00525,59347,75171,61755,62559,84517,68968,50013,82492,51460,81225,89266
K00526,17875.5,12548.5,18245,19730.5,17940,16128,16176.5,19442.5,8509,26627.5,23189
K00527,272,625,777,479,2147,437,861,899,451,1697,1185
K00528,5616,5017,2224.5,2721,10898,4251,1864,3509,4205,2548,4463
K00529,3761,4687,2141,2376,3763,4401,1604,3196,3717,2475,4053
K00532,1,2,2,0,0,0,0,0,0,0,1
K00533,2,1,3,0,0,4,0,1,4,1,2
K00534,0,0,0,16,1,0,4,18,4,0,17
K00537,3177,2760,2617,1095,4815,2748,2431,1811,2010,2705,1595
